Indicators,Country,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
slums,Indonesia,,19.41083,,20.23793,,21.89212,,23.54632,,25.20051,,26.85471,,28.5089,,30.1631,,31.81729,,33.47149,,35.12568,,,
Real interest rate (%),Indonesia,2.742270556,10.02450961,8.62940479,6.471249839,6.501563996,9.224432344,8.349910635,6.792118581,6.374931242,7.750188565,4.594376749,-1.746097536,5.747952096,-3.852245026,2.339674091,1.658151422,-0.245735467,5.134410231,10.85207115,12.3224125,3.719985957,-1.654212471,11.82652643,-24.60016808,8.21356548
ruralpop,Indonesia,42.71,43.359,44.015,44.675,45.341,46.011,46.687,47.365,48.045,48.724,49.405,50.086,50.866,51.665,52.465,53.262,54.058,54.851,55.644,56.432,57.217,57.998,59.208,60.407,61.594
servicesector,Indonesia,42.81769996,44.39591936,44.22074584,43.40483731,43.61405533,43.64174881,43.30908092,42.24218531,41.51653748,40.87337489,40.58460421,40.66599029,37.05772988,37.45751503,39.48417538,40.08263854,40.33232249,41.03660373,41.06508569,40.104784,38.41724523,33.36863651,37.02727102,36.68682354,39.57890112
"Share of tariff lines with international peaks, all products (%)",Indonesia,,8.508014,8.24086,7.871694,12.02772,6.879239,,,7.946181,1.468665,7.614662,7.213481,10.93572,3.661355,12.73369,6.574374,6.789559,6.987374,3.133229,2.979603,3.083941,11.14527,25.90663,11.03846,53.84245
"Share of tariff lines with specific rates, all products (%)",Indonesia,,0.0627197,0.0541843,0.0543367,0.0552123,0.0566447,,,0.0844018,0,0.0441931,0.045634,0.1224766,0,0.0534779,0.0781031,0.0608984,0.042694,0.0212006,0.0241941,0.0207857,0.020072,0.0527221,0,0
"Tariff rate, applied, simple mean, all products (%)",Indonesia,,6.29,6.71,6.25,5.86,6.31,,,5.37,5.43,5.3,5.18,4.96,6.84,5.57,5.82,5.78,5.81,5.74,6.28,6.13,8.02,9.86,7.93,20.57
"Tariff rate, applied, simple mean, primary products (%)",Indonesia,,6.2,10.66,7.39,6.82,7.18,,,6.56,7.13,6.23,5.97,3.89,7.13,4.24,4.19,4.29,4.94,5.48,6.92,6.06,6.26,10.75,6.07,17.67
Tariffs,Indonesia,,2.04,2,2,2.06,2.64,,,2.37,2.54,2.62,2.56,1.71,4.38,2.9,3.53,3.97,4.02,4.04,4.38,4.14,5.16,6.05,5.48,15.06
"Tariff rate, applied, weighted mean, primary products (%)",Indonesia,,2.74,2.57,2.29,2.28,2.35,,,1.51,1.61,1.87,1.85,1.44,2.52,2.01,2.31,2.41,2.44,2.66,3.83,2.49,2.76,3.25,2.39,7.19
"Tariff rate, most favored nation, simple mean, all products (%)",Indonesia,,8.1,8.67,8.15,8.1,7.88,,,7.22,7.36,7.42,7.39,6.8,6.9,6.91,6.96,6.96,6.96,6.91,6.91,6.9,8.43,11.19,8.94,22.51
"Tariff rate, most favored nation, weighted mean, all products (%)",Indonesia,,5.88,6.14,5.89,5.67,5.4,,,4.66,4.83,4.79,4.74,2.55,4.38,3.87,4.85,5.38,5.03,4.86,5.07,4.35,5.16,6.05,5.48,15.06
unemployment,Indonesia,3.829999924,4.25,3.589999914,4.389999866,3.779999971,4.300000191,4.510000229,4.050000191,4.340000153,4.46999979,5.150000095,5.610000134,6.110000134,7.210000038,8.06000042,7.550000191,7.940000057,7.300000191,6.659999847,6.599999905,6.079999924,6.079999924,6.360000134,5.460000038,4.679999828
Exports,India,9750751,6671971,7482530,7667566,6804225,5841534,5822803,5421742,4843241,4767751,5053709,4091496,2965604,3158538,2401146,1458130,893428,593601,334323,267116,189627,156073,116196,101669,
Imports,India,2814551,2097731,1798588,1883335,1634537,1176413,1336855,1635869,1697025,1879582,2337115,2084625,1372728,2025889,1461710,1027745,976622,767803,425138,227387,169997,135348,82577,90573,
fdi,India,632,1201,2563,4754,15772,5181,8080,5075,2705,4406,4217,4931,5520,8805,3404,5239,2140,1948,1593,3057,1197,1044,49,557,38
electricity,India,,99,97.30826569,95.69999695,92.12494659,89.21779633,88,83.87249756,81.99932861,79.90000153,67.59999847,76.30000305,75,72.89938354,71.11986542,67.90000153,67.5798111,64.40000153,64.04748535,62.29999924,55.79999924,58.72147369,60.1,56.18213272,54.59486389
ageing,India,48.12632543,48.77554811,49.40102931,50.01892798,50.68482818,51.40973408,52.14810069,52.89442862,53.69513485,54.55749587,55.44659178,56.35915817,57.28110818,58.20561121,59.15501643,60.12096467,61.05733454,61.96232145,62.85041436,63.70378872,64.55324323,65.40816687,66.27117497,67.13037766,67.95142111
publicdebt,India,,,,46.52249867,47.58360938,47.63375559,49.96471839,49.90092487,50.31182736,50.67803055,51.55655366,51.5919103,55.25644611,57.29221428,57.49753639,59.66673028,62.2265261,62.59297674,62.1900539,62.5527713,59.0179098,55.0042465,51.35295144,50.31921817,50.36543613
business,India,,,7.2,14.4,15,14,14.5,16.4,41.5,,,,,,,,,,,,,,,,
gdp,India,2256.590409,1910.421473,2047.232704,1974.377788,1957.968841,1714.280355,1590.173918,1559.864518,1438.05748,1434.018198,1449.601789,1350.634322,1096.63498,993.5037725,1022.731629,802.013742,710.5093449,624.1050944,543.8437989,468.8444283,449.9111249,442.0347789,440.9614546,412.509511,414.8988696
GNI per capita growth (annual %),India,7.610477682,-7.882588079,2.797243327,5.324194138,5.637504279,6.994069678,6.718547579,6.154774715,4.937975665,3.749293427,4.025675633,6.483379633,6.367416341,1.457106207,6.473858004,6.359825724,6.183053336,6.131219221,6.007985146,2.093690541,3.082447219,1.696176623,6.83454139,4.198534404,2.253946946
savings,India,30.2137348,28.53850805,29.6977505,31.41049216,31.7067543,30.83057551,32.4539249,33.46602422,34.30465633,35.26129179,35.13179654,36.30587538,35.61743864,36.25408113,37.01139151,36.36053211,34.4180229,33.33257124,30.47096654,28.11148558,26.25987903,26.11902732,25.63753651,25.88950372,27.55043249
internet,India,,43,29.4,20.08130004,18.2,16.5,14.9,13.5,12.3,11.1,10.07,7.5,5.12,4.38,3.95,2.805499865,2.388075,1.976136492,1.686489971,1.537875582,0.660146377,0.52753245,0.273224277,0.139027329,0.070767849
inflation,India,5.131407472,6.623436776,3.729505735,3.938826467,3.328173375,4.948216341,4.906973441,6.665656719,10.01787847,9.478996914,8.911793365,11.98938992,10.88235294,8.349267049,6.372881356,5.796523376,4.24634362,3.767251735,3.805858995,4.297152039,3.779293122,4.00943591,4.66982038,13.23083898,7.164252115
immigration,India,,,,,,,0.399752709,,,,,0.441598735,,,,,0.517653228,,,,,0.608579705,,,
gender,India,22.98900032,22.67900085,23.72200012,20.53800011,21.54899979,22.59199905,23.66699982,24.77400017,25.90999985,27.07500076,27.91900063,28.77499962,29.04500008,29.31599998,29.58799934,29.86199951,30.13599968,30.19499969,30.26199913,30.3390007,30.42300034,30.51600075,30.09799957,29.68700027,29.28300095
education,India,,61.09999847,61.45000076,60.65000153,,,,,,64.05999756,,63.09000015,,,,,67.62000275,,,,,69.20999908,,,
interest,India,8.698333333,9.15,9.46625,9.454166667,9.508333333,9.6725,10.00833333,10.25,10.29166667,10.60416667,10.16666667,8.33335,12.1875,13.3125,13.02083333,11.1875,10.75,10.91666667,11.45833333,11.91666667,12.08333333,12.29166667,12.54166667,13.54166667,13.83333333
literacy,India,,,,74.37299347,,,,,,,69.3025589,,,,,62.75447083,,,,,61.0145607,,,,
militaryexp,India,2.657790031,2.88463275,2.519120764,2.433922067,2.531462588,2.543151188,2.457450601,2.543982503,2.548825679,2.618167619,2.704483558,2.889461328,3.129387179,2.631462141,2.478248209,2.52680863,2.754907666,2.828752248,2.677776932,2.82686683,2.924435546,2.948929906,2.957195647,2.727311417,2.647732426
oil,India,,0.247046219,0.361579706,0.454587641,0.322501602,0.234708105,0.354619402,0.926982393,1.152039795,1.302152018,1.344800867,0.809866607,0.678633805,1.594893631,1.182664063,1.390073199,1.278897537,1.039402072,0.874490863,0.877868165,0.867161855,1.188830359,0.720296599,0.491671716,0.909078026
slums,India,,49.01085,,49.01085,,49.70906,,50.40728,,51.10549,,51.8037,,52.50192,,53.20013,,53.89834,,54.59656,,55.29477,,,
Real interest rate (%),India,-1.153155087,3.36084268,6.910293451,5.36166639,5.327608862,6.232711415,7.556488414,6.69517609,3.865992884,2.473521635,1.317979708,-1.983859222,4.808592108,3.77175625,5.681844063,2.570606702,4.855145172,4.910128304,7.30788116,7.90717719,8.591449296,8.34261083,9.191247325,5.12127633,6.909578992
ruralpop,India,64.607,65.074,65.528,65.97,66.4,66.818,67.223,67.616,67.997,68.366,68.724,69.07,69.413,69.754,70.094,70.431,70.765,71.097,71.428,71.756,72.082,72.333,72.547,72.76,72.972
servicesector,India,47.51040356,48.43685677,50.10766892,48.43156632,47.67088997,47.74940129,47.78374812,47.82241376,46.69871477,46.30114729,45.44214525,45.03374956,45.98488281,45.88254991,44.00815792,44.04323571,44.44293292,44.11485897,44.70464565,44.72882755,43.80896126,42.73292664,41.96573779,40.13256873,39.07955152
"Share of tariff lines with international peaks, all products (%)",India,,10.64343,15.04858,9.111423,8.288774,7.707811,5.802677,,8.576307,8.641136,8.434346,6.980305,8.005064,8.845916,14.42159,11.45146,13.92299,92.56118,90.33994,90.35592,92.166,90.01778,92.99548,,93.78449
"Share of tariff lines with specific rates, all products (%)",India,,3.385104,0.0103976,0.0172739,1.50324,1.524656,4.010149,,1.944708,2.015925,2.022875,2.199529,0,0.0530587,0,0,0,0,2.000448,1.411811,0.0828393,0.0058779,0.5561321,,0
"Tariff rate, applied, simple mean, all products (%)",India,,9.42,10.21,9.03,8.88,8.91,9.75,,10.59,10.71,10.56,8.88,10.28,9.98,14.66,13.86,16.5,28.57,25.63,28.79,31.79,33.4,32.4,,28.9
"Tariff rate, applied, simple mean, primary products (%)",India,,17.56,19.39,16.84,16.67,16.64,18.4,,19.57,19.63,19.01,16.48,17.67,17.57,24.22,20.27,25.44,30.6,28.95,29.94,32.89,32.2,30.62,,27.81
Tariffs,India,,6.19,6.59,4.88,5.78,6.35,7.32,,6.34,6.32,7.33,6.1,6.84,5.98,11.99,8.99,13.9,22.96,21.45,23.08,26.51,23.36,28.51,,20.13
"Tariff rate, applied, weighted mean, primary products (%)",India,,4.7,5.72,3,4.64,5.92,7.18,,5.03,4.96,7.99,6.59,5.85,5.9,13.04,8.31,15.06,18.76,19.87,19.8,23.16,15.89,23.3,,16.19
"Tariff rate, most favored nation, simple mean, all products (%)",India,,14.62,15.53,13.8,13.75,13.72,13.16,,13.93,14.04,13.36,12.51,13.06,12.81,17.2,16.8,19.02,29.51,26.92,30.59,34.91,36.56,32.95,,30.08
"Tariff rate, most favored nation, weighted mean, all products (%)",India,,7.65,8.77,6,6.85,7.57,7.49,,6.34,6.32,7.33,7.34,7.04,6.13,11.99,8.99,14.06,22.97,21.45,23.08,26.65,23.36,28.54,,20.14
unemployment,India,,7.860000134,6.510000229,7.650000095,,,,,,3.220000029,,3.119999886,,,,,8.699999809,,,,,2.730000019,,,
electricity,IDA total,,61.21993581,59.82547478,58.86265006,57.08026504,55.29273716,51.4810561,49.93313588,49.33106346,48.64633508,46.85541139,44.44691675,44.25568742,43.47158051,42.43039838,41.85964357,39.83374381,39.08065373,39.14278517,37.34773848,36.18384858,35.35977974,38.33944468,36.99062613,
ageing,IDA total,75.02574951,75.78265471,76.51092042,77.1889343,77.84591403,78.45983271,78.98549451,79.4352358,79.82955277,80.1812144,80.61013408,81.11960213,81.63162776,82.11387187,82.57070389,83.08611444,83.67313925,84.28211268,84.88359791,85.44321449,86.0554679,86.80660505,87.5795813,88.36432522,89.11014873
publicdebt,IDA total,,,,,,,,,,,,,,,,,,,,,,,,,
business,IDA total,,,34.33424658,41.09589041,47.2630137,50.75068493,54.26849315,54.98194444,63.76944444,68.82318841,78.29850746,87.92089552,95.11492537,116.1848485,148.1772727,161.7242424,164.2830769,189.6472727,214.7653061,,,,,,
gdp,IDA total,1433.795141,1343.287851,1382.250359,1376.901602,1355.171234,1324.751323,1321.784444,1385.835106,1312.287658,1233.801891,1198.582878,1211.837124,1080.77663,1111.902979,954.8655322,835.6226873,715.4375893,626.4070979,545.4825731,502.1701196,478.7327455,489.0904473,451.26926,448.2921666,450.2436582
GNI per capita growth (annual %),IDA total,1.635960678,-2.407468801,1.878569301,1.811065043,1.25710359,1.587008762,2.283437582,4.627149403,3.260658849,1.7028862,2.1678548,2.678305031,1.462564211,2.703967071,2.77962873,5.88200829,3.52337967,4.539719351,3.160996023,3.619052285,3.232534367,-0.535726247,0.970872349,0.798298121,1.440845467
savings,IDA total,26.01560858,25.56889949,23.61751969,22.228943,21.86430487,20.64409367,21.12168554,23.11915596,20.93445124,24.63644133,22.58748166,21.84031008,21.60694264,24.93869543,23.11588823,30.35750482,25.31760489,24.98664301,23.27818263,23.37117945,24.54640919,29.82106673,27.41166381,23.1038621,24.9719118
internet,IDA total,,27.96813427,24.43527576,22.62082246,19.66538602,17.20398846,14.23484289,11.86195093,9.337289674,7.901711431,6.768005874,5.90349063,4.828532237,4.100678959,3.663178422,2.912469312,2.225787289,1.731794502,1.312621625,0.73152943,0.385153128,0.155979128,0.073818517,0.035195452,0.018376621
inflation,IDA total,4.259364175,3.313322895,2.685373553,3.048914829,3.627096107,3.190561797,2.685982772,3.525662038,4.865118995,5.596070143,6.332794838,3.976552885,4.388676021,10.6597979,6.557227726,6.241033281,6.836332659,4.214993811,5.22714462,3.432803538,4.36152914,3.766693484,4.142637181,5.864911553,6.038872147
immigration,IDA total,,,,,,,1.606479767,,,,,1.70228849,,,,,1.728960358,,,,,2.016652221,,,
gender,IDA total,50.23285831,48.73065105,49.44467433,49.2216926,49.22040587,48.97468908,48.96632241,48.66917838,48.54032655,48.69877327,49.03626051,49.07403478,49.05947608,49.0571021,49.13754509,49.26625889,49.39725838,49.38976182,49.34979873,49.32447335,49.39151842,49.50143476,49.50308423,49.44569179,49.44405695
education,IDA total,,,,,,,,,,,,,,,,,,,,,,,,,
interest,IDA total,,,,,,,,,,,,,,,,,,,,,,,,,
literacy,IDA total,,67.42095184,67.14550018,66.18261719,65.62299347,64.77850342,63.31293869,62.42197037,61.63714981,60.84981918,59.9167099,59.78641891,59.24505997,58.75569153,56.94850159,59.34186935,57.94314957,58.24835968,57.07247925,56.38587189,55.67528152,54.89553833,55.45259857,54.70038986,53.36027145
militaryexp,IDA total,1.599261768,1.568798226,1.522384583,1.632459653,1.704329029,1.651970503,1.585674197,1.500327352,1.522316558,1.564669819,1.524441954,1.947070995,2.125229537,1.985085449,2.105046034,2.087444852,2.279377059,2.50345945,2.555142692,2.675626226,2.655702076,2.686315939,3.01482351,3.032149525,2.771261039
oil,IDA total,,1.368652799,2.215415907,2.527784884,1.737199678,0.903159954,1.213565051,3.660253095,4.571172337,5.681057877,8.022368016,5.650877563,4.009717608,7.997117948,6.386585821,7.200614617,7.172905692,5.422547918,3.70750711,3.504777992,3.896431991,5.550128236,2.926590105,1.623634012,3.521455601
slums,IDA total,,52.71058574,,53.71501721,,55.39147475,,57.18732962,,58.99856743,,60.84252963,,62.60704474,,64.34073235,,66.0100575,,67.65776898,,67.98248619,,,
Real interest rate (%),IDA total,,,,,,,,,,,,,,,,,,,,,,,,,
ruralpop,IDA total,61.42388774,61.93638868,62.44477283,62.95059732,63.44941712,63.94054786,64.42496081,64.89745529,65.33135493,65.75670132,66.18836606,66.64307494,67.12578761,67.5960779,68.07017734,68.49727228,68.9384442,69.36793102,69.78493746,70.19528704,70.60691043,71.01136492,71.35007815,71.67706421,72.01219783
servicesector,IDA total,45.77087137,47.05114878,47.55339498,48.17780936,49.1919776,50.14777701,49.93898712,48.50585532,48.27867789,47.49513568,46.38005886,47.50928034,47.79977454,45.88758493,46.10650669,45.78628034,45.54966092,45.40313315,45.13841766,45.0786309,45.8753081,44.93345505,43.5545033,42.86049537,41.70446889
"Share of tariff lines with international peaks, all products (%)",IDA total,,,,,,,,,,,,,,,,,,,,,,,,,
"Share of tariff lines with specific rates, all products (%)",IDA total,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, applied, simple mean, all products (%)",IDA total,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, applied, simple mean, primary products (%)",IDA total,,,,,,,,,,,,,,,,,,,,,,,,,
Tariffs,IDA total,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, applied, weighted mean, primary products (%)",IDA total,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, most favored nation, simple mean, all products (%)",IDA total,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, most favored nation, weighted mean, all products (%)",IDA total,,,,,,,,,,,,,,,,,,,,,,,,,
unemployment,IDA total,,,,,,,,,,,,,,,,,,,,,,,,,
electricity,IDA only,,57.86893724,56.20344173,55.25887253,53.63455395,50.09539691,46.28426503,44.00372638,42.55723974,42.02526167,39.06062014,37.71854038,36.92086464,35.37358503,33.99201762,33.68398923,30.7059362,29.78228167,29.16479043,27.63909228,26.02100662,25.17421856,25.56633078,23.74896767,
ageing,IDA only,74.78611451,75.54065119,76.29491547,77.01682111,77.71798249,78.40821472,79.03379713,79.56096518,80.03132681,80.47536149,81.01241143,81.60387273,82.16131681,82.67889992,83.14712149,83.66218866,84.26372309,84.88250457,85.4820982,86.04655419,86.61377011,87.22583803,87.85414761,88.54163438,89.17117302
publicdebt,IDA only,,,,,,,,,,,,,,,,,,,,,,,,,
business,IDA only,,,37.55344828,45.04655172,52.39655172,56.83965517,61.04310345,61.6754386,72.27192982,77.61964286,87.78888889,98.47777778,103.4055556,123.8018868,160.8603774,185.3283019,186.4153846,201.7404255,230.0547619,,,,,,
gdp,IDA only,1231.126624,1156.369671,1159.353384,1125.361424,1155.206643,1073.49641,1009.709289,1027.352149,982.1551232,925.035895,941.0873253,1058.117317,961.1384763,953.9733441,813.8063639,703.7563645,627.3190427,558.5795194,497.7279278,461.7808349,449.5331678,455.4556721,426.415144,426.6168204,419.2959004
GNI per capita growth (annual %),IDA only,0.918983769,-0.850658877,2.954712981,2.541728983,2.68456506,3.173603827,2.80766746,4.928992767,3.281422308,1.300416298,1.842616394,1.78154893,1.150874931,3.144033774,4.00601252,,,,,,,,,,
savings,IDA only,,28.16543688,27.81991826,26.93847678,26.95647103,25.96034164,25.97345402,26.33201164,23.71263184,23.24286485,22.6121152,21.72724943,21.19853152,21.18347884,20.5517649,21.11099979,19.67226514,,,,,,,,
internet,IDA only,,25.16131636,22.50316289,21.18329277,18.47446421,15.68952016,11.81633545,9.445190278,6.770543326,5.645836878,4.728292421,4.025237892,3.151646459,2.550753227,2.31662988,1.481947726,1.03135475,0.761082727,0.536924197,0.354368007,0.201357409,0.135062456,0.073011049,0.030636426,0.014197044
inflation,IDA only,4.370121905,3.46841178,2.744170618,3.255194839,4.057542082,3.371530035,3.22807411,4.129243069,4.957427605,5.912006025,6.595838192,4.69889065,4.561506877,11.35426848,6.980864539,6.686211281,7.12867502,4.534213741,5.668707734,4.037188828,4.492596092,3.955825307,4.464354677,6.208016087,6.861823553
immigration,IDA only,,,,,,,1.567965642,,,,,1.615892032,,,,,1.708259826,,,,,1.903099063,,,
gender,IDA only,53.08798201,50.96312444,51.82949426,51.87447978,51.76022959,51.29139768,51.17053326,50.98461867,50.86775141,50.76403674,50.91797663,51.00416133,51.12405934,51.26462711,51.40507788,51.62978639,51.91321953,51.9858964,52.0552913,52.16451316,52.23765157,52.311877,52.34563309,52.31454353,52.34188224
education,IDA only,,,,,,,,,,,,,,,,,,,,,,,,,
interest,IDA only,,,,,,,,,,,,,,,,,,,,,,,,,
literacy,IDA only,,67.7516098,67.47814941,66.25772095,65.13645172,64.29682922,62.44129944,61.3146019,60.56940079,59.30995941,58.61759186,58.45849991,57.87440872,57.61193848,55.51670074,55.70035934,56.54544067,56.70166016,55.54835892,54.8260994,54.10110855,53.39664841,52.7060318,51.89587021,50.38158035
militaryexp,IDA only,1.331897625,1.391095075,1.302651039,1.287477501,1.5814741,1.558005103,1.69316608,1.634037336,1.645196597,1.683083823,1.605828206,2.359578598,2.577103401,2.384613586,2.630710881,2.56863504,2.676798432,2.888700686,2.929636462,2.984066299,3.020760882,2.994298681,3.310763132,3.213903457,2.828050387
oil,IDA only,,0.449029061,0.671701228,0.784536149,0.716073035,0.353215371,0.535324731,1.755794291,2.259356813,2.643440865,6.074545086,3.916306281,2.945997708,5.733212749,4.214990146,4.732963449,4.543370528,3.464091667,2.601447251,2.457751963,2.550285355,3.30459554,1.930526249,1.237770084,2.063252879
slums,IDA only,,54.62396988,,54.92875177,,56.38165457,,57.94923697,,59.55609319,,61.23767802,,62.82107928,,64.37460856,,65.84364323,,67.31192793,,66.23177456,,,
Real interest rate (%),IDA only,,,,,,,,,,,,,,,,,,,,,,,,,
ruralpop,IDA only,63.98196865,64.51004349,65.03593181,65.56138024,66.07943946,66.5906878,67.09187398,67.57227379,67.99390971,68.40512427,68.8280047,69.27085684,69.74577311,70.21065145,70.68528963,71.09468771,71.5309773,71.95233942,72.35717934,72.75738421,73.151854,73.52767857,73.85381384,74.17001771,74.48767688
servicesector,IDA only,44.22326296,45.42531781,45.11263494,45.3428268,46.15003297,46.22887075,45.91650425,44.74832665,45.15947751,45.07324342,43.75029801,45.24817552,45.29424117,43.07136002,42.94868892,43.0457284,44.04451081,44.28916095,44.42617661,44.19421325,43.9071995,43.56073927,43.51517495,42.96521421,42.29812852
"Share of tariff lines with international peaks, all products (%)",IDA only,,,,,,,,,,,,,,,,,,,,,,,,,
"Share of tariff lines with specific rates, all products (%)",IDA only,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, applied, simple mean, all products (%)",IDA only,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, applied, simple mean, primary products (%)",IDA only,,,,,,,,,,,,,,,,,,,,,,,,,
Tariffs,IDA only,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, applied, weighted mean, primary products (%)",IDA only,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, most favored nation, simple mean, all products (%)",IDA only,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, most favored nation, weighted mean, all products (%)",IDA only,,,,,,,,,,,,,,,,,,,,,,,,,
unemployment,IDA only,,,,,,,,,,,,,,,,,,,,,,,,,
electricity,IDA blend,,67.85639704,66.98922364,65.95551997,63.85183498,65.46786732,61.61551278,61.4680754,62.49166243,61.49906648,61.94864248,57.51483492,58.50349709,59.22923694,58.8699176,57.72200815,57.36524234,56.93466771,58.29594234,55.95162684,55.61883566,54.90965872,55.74805341,54.53179643,
ageing,IDA blend,75.50213161,76.26267242,76.9381405,77.5282366,78.09732727,78.56088819,78.89129777,79.19064472,79.43753382,79.61022036,79.82970956,80.17904704,80.60069067,81.0122073,81.44546328,81.96147307,82.52102867,83.11148667,83.71712528,84.26940379,84.9697266,85.98844497,87.04192142,88.01652246,88.99019156
publicdebt,IDA blend,,,,,,,,,,,,,,,,,,,,,,,,,
business,IDA blend,,,21.88666667,25.82,27.41333333,27.20666667,28.07333333,29.54666667,31.46,30.93076923,38.87692308,44.06923077,60.67692308,85.13076923,96.46923077,65.49230769,75.75384615,118.6,123.0285714,,,,,,
gdp,IDA blend,1842.771049,1719.895065,1827.168474,1874.947566,1751.50761,1818.404972,1930.460187,2083.183745,1953.690169,1833.192454,1698.70039,1511.891127,1315.122967,1421.069868,1231.020709,1093.289936,888.8836023,760.5112269,640.7860145,582.978617,538.3444749,557.3761309,502.9094629,494.0208019,513.6074585
GNI per capita growth (annual %),IDA blend,2.464061732,-3.929917769,0.865681592,1.166970317,-0.117920109,0.081192149,1.824046556,4.364399184,3.268010466,2.130822028,2.411789761,3.40218134,1.683559737,2.2787938,1.757728292,7.349479729,3.582418389,6.0237097,3.270738927,5.230531915,3.857510731,-2.275036853,0.75198269,-0.105523153,-0.457801501
savings,IDA blend,26.57507439,23.52323289,19.9913831,17.99748583,17.28905729,15.86851632,16.7056606,20.19485096,18.45387626,25.878718,22.56568949,21.93391333,21.93108393,27.73650746,25.00719695,37.16373832,29.49824729,26.05744958,24.1575658,24.67676882,27.46874189,37.08985029,33.73106519,26.1981922,30.33167644
internet,IDA blend,,32.80136321,27.91032667,25.26437688,22.00763164,20.16594092,18.77075915,16.38460265,14.13515169,12.06631446,10.53203237,9.323954804,7.930000285,6.973272442,6.258190416,5.517055276,4.509704524,3.594922673,2.801249955,1.456672242,0.739263746,,0.075342096,0.043149921,0.025459215
inflation,IDA blend,2.410703122,2.116490146,2.206073058,2.324144854,0.908458256,1.650389944,1.374885426,0.912139545,2.913541936,4.177635871,4.44083401,3.343426576,3.043618479,8.033273277,4.410997042,4.25195322,3.094490115,2.42976608,2.154928099,1.922921159,3.811317484,1.704504156,3.823217511,4.3942351,3.964378052
immigration,IDA blend,,,,,,,1.681212951,,,,,1.869764333,,,,,1.767422208,,,,,2.227814849,,,
gender,IDA blend,44.91826626,44.19142901,44.61028793,43.86303268,44.10587495,44.32674566,44.56141742,44.05739035,43.91928576,44.60985992,45.32033434,45.26348304,44.97877848,44.69032795,44.64956383,44.59051058,44.42688005,44.2661261,44.01410619,43.73564126,43.79120169,43.94209195,43.85152215,43.72911463,43.65126082
education,IDA blend,,,71.35111809,,,,,,,,,,,,,,,,,,,,,,
interest,IDA blend,,,,,,,,,,,,,,,,,,,,,,,,,
literacy,IDA blend,,66.76564026,66.48745728,66.03430939,66.5821991,65.72673035,65.02671814,64.59818268,63.73519135,63.87588882,62.47026062,62.39707947,61.94287109,61.00965118,59.77349854,66.53460693,60.70658112,61.30805969,60.0885582,59.47306824,58.79138184,57.86338043,60.89678955,60.26639938,59.2795105
militaryexp,IDA blend,1.949411553,1.804106982,1.792589205,2.009157132,1.861652932,1.761386645,1.47603446,1.378886089,1.4076493,1.457727013,1.455813611,1.444013552,1.476980279,1.465450216,1.472459369,1.518601089,1.742680009,1.955993324,2.026855397,2.273229062,2.153989237,2.251784085,2.591407741,2.737387692,2.687438661
oil,IDA blend,,2.49037267,4.092305687,4.562108019,3.042544927,1.530022603,1.903851925,5.485809882,6.827337034,8.639567838,10.10881838,8.000726917,5.517633731,10.94966942,9.112656585,10.2169018,10.69506151,8.151605271,5.334444278,5.075718178,6.001257705,8.995457793,4.5133361,2.250745671,5.766588427
slums,IDA blend,,49.77508881,,51.75793265,,53.79721423,,55.97798352,,58.12315491,,60.21779224,,62.2690013,,64.28739282,,66.26465791,,68.18628221,,70.24302477,,,
Real interest rate (%),IDA blend,,,,,,,,,,,,,,,,,,,,,,,,,
ruralpop,IDA blend,56.34623235,56.83941235,57.3280359,57.81211598,58.28944839,58.76098392,59.2331599,59.70330429,60.16793919,60.6252729,61.07717389,61.54923198,62.03649561,62.50845444,62.97545718,63.43687079,63.89147807,64.33968435,64.78261162,65.22183352,65.66906737,66.11215027,66.45944537,66.80091297,67.1611416
servicesector,IDA blend,47.88846143,49.28135694,50.65492614,51.56463361,53.17386759,54.68872641,54.04218732,52.10993973,51.32689738,49.87361382,49.21080905,50.60719352,51.3896781,49.5121311,50.08594789,49.14747684,47.39223091,46.70467445,45.83271156,46.03732151,48.58741653,46.67326155,43.12049563,42.1624785,40.31930449
"Share of tariff lines with international peaks, all products (%)",IDA blend,,,,,,,,,,,,,,,,,,,,,,,,,
"Share of tariff lines with specific rates, all products (%)",IDA blend,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, applied, simple mean, all products (%)",IDA blend,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, applied, simple mean, primary products (%)",IDA blend,,,,,,,,,,,,,,,,,,,,,,,,,
Tariffs,IDA blend,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariff rate, applied, weighted mean, primary products (%)",IDA blend,,,,,,,,,,,,,,,,,,,,,,,,,
